№,Перерізи,,,,,,,,,
1,"-0,588","-0,896","-0,867","0,075","0,729","0,494","0,771","0,113","0,231","0,4"
2,"-0,656","0,41","-0,732","0,839","0,093","0,523","0,899","-0,194","0,789","0,178"
3,"0,834",0,"-0,603","-0,021","0,526","1,16","1,37","0,599","0,904","0,712"
4,"0,66","0,182","-0,747","0,294","-0,141","0,981","-0,069","0,554","0,014","0,45"
5,"-0,326","-1,8","-0,69","-0,404","-0,136","-1,157","0,047","0,088","-0,061","0,963"
6,"-0,187","0,083","-0,541","-0,742","-0,54","0,972","0,656","0,132","0,521","-0,502"
7,"-0,609","-0,297","-0,565","-0,403","0,208","0,972","0,777","0,476","0,465","-0,361"
8,"1,03","-0,608","-0,681","0,193","0,282","0,06","1,41","0,579","0,072","0,201"
9,"-0,165","-1,07","-0,834","0,26","-0,26","1,12","0,334","-0,048","-0,132","0,192"
10,"0,724","-1,17","-0,775","0,417","-0,013","0,223","0,355","0,485","0,526","0,068"
11,"0,516","0,31","-0,444","-0,123","1,3","1,17","0,685","0,631","0,71","0,072"
12,"0,081","-0,178","-0,788","-0,477","0,471","-0,354","1,41","0,006","0,315","0,658"
13,"0,258","0,261","-0,834","0,23","0,501","0,605","0,243","-0,137","0,344","0,036"
14,"0,51","0,316","-0,908","0,33","0,688","-0,217","0,722","0,257","-0,032","-0,367"
15,"0,134","-0,676","-1,23","0,161","0,94","1,18","0,871","-0,033","0,302","-0,322"
16,"-0,111","-0,774","-0,417","-0,019","0,432","0,348","0,746","1,64","0,401","-0,078"
17,"0,128","-0,386","-1,13","-0,255","0,679","0,662","0,982","1,14","-0,239","0,425"
18,"-0,159","0,237","-1,02","0,131","-0,137","0,059","1,13","1,06","0,287","-0,054"
19,"0,363","-0,41","-0,935","-0,032","0,26","0,903","1,13","0,267","0,776","0,227"
20,"-0,072","-0,374","-0,934","-0,248","0,177","1,15","0,714","0,78","-0,113","0,851"
21,"-0,486","-0,534","-0,195","-0,169","0,376","0,764","1,34","0,318","-0,187","1,02"
22,"-0,198","-0,006","-0,423","0,121","0,58","1,03","0,034","0,781","-0,442","1,1"
23,"0,724","0,152","-0,22","0,139","0,157","-0,033","0,535","0,248","0,311","0,192"
24,"0,122","-0,488","-0,955","-0,268","0,065","-0,053","0,318","1,05","0,636","-0,85"
25,"0,769","-0,617","-0,345","0,362","0,072","1,38","1,1","0,613","0,802","0,613"
26,"-0,604","-0,822","-0,606","0,228","0,54","0,286","1,14","0,649","0,099","0,195"
27,"0,33","-0,289","-0,519","-0,274","-0,258","1,01","0,534","0,569","0,468","0,626"
28,"-0,189","-0,938","-0,594","-0,234","0,398","0,146","0,049","0,248","0,135","-0,55"
29,"-0,913","-0,815","-0,6","0,353","0,403","0,378","0,966","1,05","-0,39","0,665"
30,"0,055","0,062","-0,312","-0,189","0,421","0,377","0,411","0,916","0,35","-0,559"
31,"0,209","0,888","-0,852","-0,187","1,91","0,904","0,431","0,876","0,211","0,345"
32,"0,563","-0,28","-0,694","0,142","0,851","0,864","1,1","0,267","0,359","-0,154"
33,"-0,476","-0,419","-0,514","0,095","0,292","1,46","0,9","-0,201","0,491","-0,726"
34,"-0,554","-1,39","-0,577","0,454","0,129","0,853","0,378","0,245","-0,289","-0,297"
35,"-0,012","-0,975","-0,486","-0,231","0,512","0,237","1,29","0,916","1,02","-0,044"
36,"0,082","-0,98","-0,743","-0,287","0,446","-0,174","0,664","0,553","0,044","0,179"
37,"0,67","-0,755","-0,819","-0,04","0,688","0,439","0,768","0,385","-0,071","0,559"
38,"0,076","0,189","-0,845","-0,357","0,661","0,672","0,647","0,349","0,846","-0,096"
39,"-0,737","-0,965","-0,27","0,229","0,748","0,938","-0,131","1,06","0,717","0,605"
40,"-0,196","-0,199","-0,338","0,136","-0,171","0,733","0,331","0,721","0,456","-0,222"
41,"0,443","-1,58","-0,778","0,491","0,111","0,527","0,722","-0,098","-0,15","-0,595"
42,"-0,254","0,039","-0,471","-0,045","0,587","0,475","0,873","0,468","-0,183","0,544"
43,"-0,796","0,257","-0,243","-0,006","1,58","1,7","1,06","-0,228","0,46","0,006"
44,"0,24","-1,48","-1,01","0,407","0,427","0,679","1,29","-0,042","-0,112","-0,031"
45,"-0,215","-0,998","-1,49","0,051","0,86","0,187","1,04","0,429","-0,495","0,198"
46,"0,406","-1,34","-0,812","-0,361","-0,358","0,288","1,04","0,241","0,172","-0,272"
47,"-0,405","-1,17","-1,18","0,026","0,625","0,657","0,495","0,092","-0,062","-0,864"
48,"0,093","0,569","-0,592","0,235","0,506","-0,17","0,369","0,309","-0,035","-0,427"
49,"1,15","0,012","-0,283","-0,033","0,339","0,922","0,857","0,071","0,263","0,113"
50,"-0,526","-0,08","-0,492","-0,235","0,754","1,07","0,861","0,819","-0,351","0,102"
51,"-0,199","0,547","-0,481","-0,146","0,334","0,307","0,512","0,713","0,112","0,007"
52,"0,479","0,1","-0,566","0,019","0,199","0,794","1,05","0,089","0,374","0,591"
53,"0,288","-1,23","-0,767","0,495","0,733","0,631","0,816","0,181","0,077","0,217"
54,"-0,746","-0,582","0,009","-0,203","0,874","0,826","0,994",1,"-0,045","-0,459"
55,"0,508","-0,418","-0,395","-0,015","-0,443","0,475","0,479","0,062","0,531","-0,884"
56,"-0,229","-1,33","-0,569","-0,115","-0,021","0,031","0,733","0,813","0,542","0,82"
57,"0,611","0,049","-0,455",0,"0,107","0,857","0,258","0,487","0,356","0,134"
58,"-0,032","-1,29","-0,845","0,156","0,991","0,381","0,87","0,094","0,709","-0,224"
59,"-0,092","-0,358","-0,742","0,327","0,509","0,838","0,678","0,092","0,574","0,221"
60,"-0,337","0,285","-0,895","0,092","-0,208","0,126","0,75","-0,256","0,221","0,13"
61,"0,505","-0,013","-0,827","0,234","0,639","0,245","0,614","0,156","0,313","-1,23"
62,"-0,544","-0,736","-0,994","-0,129","0,694","0,816","0,654","0,404","-0,308","0,089"
63,"0,136","-0,677","-0,341","0,302","0,64","0,453","0,39","0,622","0,651","0,263"
64,"0,592","-0,271","-0,211","0,384","0,56","0,51","0,645","0,527","0,737","0,068"
65,"1,35","0,431","-0,219","0,063","0,5","1,44","1,39","-0,034","0,33","0,199"
66,"0,506","-0,561","-0,612","-0,166","0,432","0,544","0,901","0,323","0,474","-0,054"
67,"0,232","-0,364","-0,641","-0,315","-0,341","0,277","0,317","1,24","0,296","0,317"
68,"0,642","-1,69","-0,766","0,341","-0,168","0,987","0,934","0,77","0,112","0,236"
69,"0,237","-0,411","-0,369","0,084","0,277","0,982","0,651","0,375","-0,083","0,133"
70,"0,235","-0,268","-0,757","-0,113","0,009","0,279","0,889","-0,103","0,246","-0,627"
71,"0,274","1,19","-0,841","0,416","0,482","-0,092","1,48","-0,013","-0,061","-0,29"
72,"-0,12","0,047","-0,667","-0,172","0,692","-0,289","0,29","0,095","0,251","-0,147"
